source,chunk_id,char_count
PMC10792381.txt,686,813
PMC10792381.txt,687,821
PMC10792381.txt,688,969
PMC10792381.txt,689,311
PMC10792381.txt,690,724
PMC10792381.txt,691,607
PMC10792381.txt,692,689
PMC10792381.txt,693,145
PMC10792381.txt,694,981
PMC10792381.txt,695,689
PMC10792381.txt,696,197
PMC10792381.txt,697,920
PMC10792381.txt,698,355
PMC10792381.txt,699,689
PMC10792381.txt,700,593
PMC10792381.txt,702,861
PMC10792381.txt,703,727
PMC10792381.txt,704,960
PMC10792381.txt,705,859
PMC10792381.txt,706,803
PMC10792381.txt,707,655
PMC8382940.txt,708,917
PMC8382940.txt,709,317
PMC8382940.txt,711,1021
PMC8382940.txt,712,466
PMC8382940.txt,713,317
PMC8382940.txt,715,792
PMC8382940.txt,716,938
PMC8382940.txt,717,243
PMC8382940.txt,718,317
PMC8382940.txt,720,1010
PMC8382940.txt,721,731
PMC8382940.txt,722,586
PMC8382940.txt,723,990
PMC8382940.txt,724,829
PMC8382940.txt,725,280
PMC8382940.txt,726,749
PMC8382940.txt,728,954
PMC8382940.txt,729,248
PMC8382940.txt,730,749
PMC8382940.txt,732,1020
PMC8382940.txt,733,900
PMC8382940.txt,734,325
PMC8382940.txt,735,749
PMC8382940.txt,737,939
PMC8382940.txt,738,264
PMC8382940.txt,739,749
PMC8382940.txt,741,1002
PMC8382940.txt,742,919
PMC8382940.txt,743,861
PMC8382940.txt,744,617
PMC8382940.txt,745,749
PMC7201228.txt,746,118
PMC7201228.txt,748,624
PMC7201228.txt,749,730
PMC7201228.txt,750,522
PMC7201228.txt,751,118
PMC7201228.txt,753,638
PMC7201228.txt,754,553
PMC7201228.txt,755,118
PMC7201228.txt,757,771
PMC7201228.txt,758,976
PMC7201228.txt,759,337
PMC7201228.txt,760,791
PMC7201228.txt,761,176
PMC7201228.txt,762,980
PMC7201228.txt,763,974
PMC7201228.txt,764,939
PMC7201228.txt,765,996
PMC7201228.txt,766,603
PMC7201228.txt,767,791
PMC7201228.txt,769,997
PMC7201228.txt,770,281
PMC7201228.txt,771,791
PMC7201228.txt,772,974
PMC7201228.txt,774,803
PMC7201228.txt,775,895
PMC7201228.txt,776,974
PMC12644182.txt,777,118
PMC12644182.txt,779,984
PMC12644182.txt,780,596
PMC12644182.txt,781,118
PMC12644182.txt,783,544
PMC12644182.txt,784,796
PMC12644182.txt,785,911
PMC12644182.txt,786,866
PMC12644182.txt,787,968
PMC12644182.txt,788,953
PMC12644182.txt,789,734
PMC12644182.txt,790,118
PMC12644182.txt,792,892
PMC12644182.txt,793,961
PMC12644182.txt,794,433
PMC12644182.txt,795,118
PMC12644182.txt,797,1026
PMC12644182.txt,798,980
PMC12644182.txt,799,975
PMC12644182.txt,800,931
PMC12644182.txt,801,857
PMC12644182.txt,802,878
PMC12644182.txt,803,702
PMC12644182.txt,804,945
PMC12644182.txt,805,815
PMC12644182.txt,806,934
PMC12644182.txt,807,740
PMC12644182.txt,808,956
PMC12644182.txt,809,471
PMC12644182.txt,810,746
PMC12644182.txt,811,998
PMC12644182.txt,812,835
PMC12644182.txt,813,904
PMC12644182.txt,814,802
PMC12644182.txt,815,1000
PMC12644182.txt,816,966
PMC12644182.txt,817,930
PMC12644182.txt,818,991
PMC12644182.txt,819,964
